net,length_um
_06117_,22.38
_10951_,22.38
_15863_,22.38
_18448_,22.38
_23602_,22.38
net533,22.38
_01603_,22.36
_05764_,22.36
_07673_,22.36
_10160_,22.36
_17429_,22.36
_19275_,22.36
_20616_,22.36
_24341_,22.36
_24361_,22.36
_02199_,22.34
_02493_,22.34
_11435_,22.34
_12243_,22.34
_14339_,22.34
_15106_,22.34
net886,22.325
_00148_,22.32
_00282_,22.32
_01926_,22.32
_02190_,22.32
_11488_,22.32
_13078_,22.32
_19836_,22.32
_19909_,22.32
_07327_,22.31
_03459_,22.3
_08421_,22.3
_10657_,22.3
_17442_,22.3
_18277_,22.3
_20360_,22.3
_24232_,22.3
_01262_,22.295
_03983_,22.28
_05084_,22.28
_05261_,22.28
_11566_,22.28
_20701_,22.28
_23835_,22.28
net615,22.28
_22661_,22.275
_04355_,22.27
_00116_,22.26
_04943_,22.26
_06467_,22.26
_16548_,22.26
_19210_,22.26
_19787_,22.26
_23108_,22.26
net384,22.26
net973,22.245
_06651_,22.24
_07993_,22.24
_13476_,22.24
_15971_,22.24
_22708_,22.24
_03272_,22.23
net643,22.225
_01709_,22.22
_02844_,22.22
_05622_,22.22
_06596_,22.22
_16424_,22.22
_17591_,22.22
_21640_,22.22
_22268_,22.22
net404,22.22
_24946_,22.21
_02441_,22.2
_04075_,22.2
_11533_,22.2
_15385_,22.2
_19214_,22.2
_06036_,22.19
_08401_,22.185
_00066_,22.18
_03434_,22.18
_03536_,22.18
_09876_,22.18
_10908_,22.18
_11498_,22.18
_11865_,22.18
_11912_,22.18
_15041_,22.18
_23837_,22.175
_09479_,22.17
_13311_,22.17
_02458_,22.16
_06109_,22.16
_06842_,22.16
_07023_,22.16
_08503_,22.16
_15159_,22.16
_15305_,22.16
_20824_,22.16
_24681_,22.16
net261,22.16
_01799_,22.145
_07373_,22.14
_08407_,22.14
_12448_,22.14
_13827_,22.14
_14188_,22.14
_24045_,22.14
_24461_,22.14
_24479_,22.14
_00406_,22.12
_05115_,22.12
_10952_,22.12
_11083_,22.12
_12497_,22.12
_13631_,22.12
_16224_,22.12
_16545_,22.12
_19767_,22.12
_21690_,22.12
_24756_,22.12
_13618_,22.115
_19902_,22.115
net1154,22.105
_00259_,22.1
_02882_,22.1
_06118_,22.1
_08232_,22.1
_11004_,22.1
_12467_,22.1
_17427_,22.1
_24662_,22.1
_07862_,22.09
_09855_,22.09
_06229_,22.08
_13653_,22.08
_16467_,22.08
net18,22.08
_00313_,22.06
_15376_,22.06
_19334_,22.06
_20800_,22.06
_22904_,22.06
_01226_,22.04
_02716_,22.04
_17866_,22.04
_20991_,22.04
net358,22.04
_04436_,22.02
_06076_,22.02
_10896_,22.02
_12177_,22.02
_22941_,22.02
_07319_,22.015
_15896_,22.015
_18586_,22.01
_02142_,22
_08428_,22
_09938_,22
_12856_,22
_25327_,22
_00044_,21.98
_00495_,21.98
_02668_,21.98
_07625_,21.98
_08995_,21.98
_09025_,21.98
_10816_,21.98
_14253_,21.98
_14538_,21.98
_21829_,21.98
_23250_,21.98
_13746_,21.975
_04803_,21.97
_01802_,21.96
_02226_,21.96
_02261_,21.96
_03747_,21.96
_04630_,21.96
_09973_,21.96
_10537_,21.96
_13347_,21.96
_14764_,21.96
_19610_,21.96
_21996_,21.96
_22718_,21.96
_23273_,21.96
_22724_,21.955
_00762_,21.95
_01519_,21.94
_03955_,21.94
_17598_,21.94
_21211_,21.93
_01871_,21.92
_03757_,21.92
_04657_,21.92
_05597_,21.92
_09268_,21.92
_09972_,21.92
_15979_,21.92
_17173_,21.92
_17798_,21.92
_17904_,21.92
_23217_,21.92
_24220_,21.92
_08614_,21.9
_08667_,21.9
_11870_,21.9
_14004_,21.9
_16192_,21.9
_23265_,21.9
_24677_,21.9
_08291_,21.885
_00894_,21.88
_01034_,21.88
_02219_,21.88
_04963_,21.88
_14801_,21.88
_15891_,21.88
_13825_,21.86
_19173_,21.86
_19769_,21.86
_13519_,21.85
_19678_,21.85
_02660_,21.84
_07257_,21.84
_08374_,21.84
_08938_,21.84
_11087_,21.84
_19794_,21.84
_22235_,21.84
_22840_,21.84
_00275_,21.825
_00964_,21.82
_01509_,21.82
_04164_,21.82
_06066_,21.82
_06184_,21.82
_06816_,21.82
_07221_,21.82
_10838_,21.82
_12785_,21.82
_14676_,21.82
_19497_,21.82
_20834_,21.82
_22016_,21.82
_00304_,21.8
_06314_,21.8
_06616_,21.8
_08197_,21.8
_09216_,21.8
_09395_,21.8
_12738_,21.8
_14228_,21.8
_15932_,21.8
_18514_,21.8
clknet_leaf_190_clk,21.8
net549,21.8
_00122_,21.79
_00640_,21.78
_01403_,21.78
_02396_,21.78
_02515_,21.78
_07032_,21.78
_10806_,21.78
_11117_,21.78
_11980_,21.78
_14737_,21.78
_18278_,21.78
_18997_,21.78
_23017_,21.78
_03330_,21.76
_07812_,21.76
_10995_,21.76
_15282_,21.76
_18331_,21.76
_20418_,21.76
_20721_,21.76
delay_line\[40\]\[2\],21.76
_03257_,21.74
_03519_,21.74
_05760_,21.74
_08326_,21.74
_09324_,21.74
_09628_,21.74
_13174_,21.74
_15310_,21.74
net234,21.74
net599,21.74
_01792_,21.73
_04205_,21.72
_04687_,21.72
_10072_,21.72
_12244_,21.72
_18271_,21.72
_21968_,21.72
_21983_,21.72
_02295_,21.7
_04218_,21.7
_06227_,21.7
_09746_,21.7
_11216_,21.7
_17350_,21.7
_21997_,21.7
_24941_,21.7
_25065_,21.7
delay_line\[9\]\[7\],21.7
net567,21.7
_15935_,21.695
_20320_,21.69
_01384_,21.68
_03194_,21.68
_06256_,21.68
_19564_,21.68
_04631_,21.67
_03768_,21.66
_04226_,21.66
_04753_,21.66
_05935_,21.66
_06719_,21.66
_12920_,21.66
_18581_,21.66
_21502_,21.66
net605,21.66
_02330_,21.64
_03890_,21.64
_09118_,21.64
_10738_,21.64
_12849_,21.64
_13535_,21.64
_14084_,21.64
_16907_,21.64
_17437_,21.64
_17878_,21.64
_19491_,21.64
_22666_,21.64
_23699_,21.64
_01625_,21.635
_23242_,21.635
_24178_,21.63
_08343_,21.625
_00484_,21.62
_00539_,21.62
_10341_,21.62
_12328_,21.62
_15647_,21.62
_16911_,21.62
_20041_,21.62
_22565_,21.62
clknet_leaf_169_clk,21.62
_20156_,21.61
_01661_,21.6
_02083_,21.6
_02412_,21.6
_05354_,21.6
_10841_,21.6
_12295_,21.6
_14142_,21.6
_17326_,21.6
_18955_,21.6
_21547_,21.6
_21660_,21.6
_23590_,21.6
_24050_,21.6
net21,21.6
_07933_,21.58
_10254_,21.58
_10631_,21.58
_12951_,21.58
_13221_,21.58
_13390_,21.58
_13642_,21.58
_14114_,21.58
_17046_,21.58
_20715_,21.58
_23022_,21.58
delay_line\[2\]\[7\],21.58
net118,21.58
_12004_,21.575
_02066_,21.56
_04405_,21.56
_05297_,21.56
_07070_,21.56
_15346_,21.56
_18276_,21.56
_20448_,21.56
_22945_,21.56
_02096_,21.55
_03210_,21.55
_15839_,21.55
_22710_,21.55
_03099_,21.54
_11218_,21.54
_11670_,21.54
_12172_,21.54
_17159_,21.54
_19466_,21.54
_20005_,21.54
_21615_,21.54
_21637_,21.54
_22373_,21.54
_23476_,21.54
clknet_leaf_141_clk,21.54
_11872_,21.535
_01261_,21.53
_07216_,21.52
_09393_,21.52
_11829_,21.52
_12572_,21.52
_15179_,21.52
_18015_,21.52
_20290_,21.52
_03469_,21.5
_04996_,21.5
_09155_,21.5
_09566_,21.5
_15046_,21.5
_15445_,21.5
_22325_,21.5
_22847_,21.5
_22862_,21.5
_22898_,21.5
_25363_,21.5
delay_line\[21\]\[0\],21.5
_01308_,21.48
_03537_,21.48
_04507_,21.48
_08625_,21.48
_09974_,21.48
_12507_,21.48
_19326_,21.48
_21783_,21.48
_22841_,21.48
_23636_,21.48
_02830_,21.47
_00190_,21.46
_05994_,21.46
_06289_,21.46
_07592_,21.46
_14161_,21.46
_19261_,21.46
_19842_,21.46
_25362_,21.46
_06623_,21.44
_10168_,21.44
_13950_,21.44
_19033_,21.44
_19288_,21.44
_20201_,21.44
_20988_,21.44
_14151_,21.435
_01571_,21.42
_03282_,21.42
_07303_,21.42
_10213_,21.42
_12564_,21.42
_13801_,21.42
_14048_,21.42
_14789_,21.42
_22328_,21.42
_24367_,21.42
_20335_,21.405
_07155_,21.4
_10143_,21.4
_11997_,21.4
_12891_,21.4
_14264_,21.4
_15702_,21.4
_17324_,21.4
_18260_,21.4
_20551_,21.4
_20699_,21.4
_21668_,21.4
_00824_,21.38
_01155_,21.38
_01163_,21.38
_04046_,21.38
_05818_,21.38
_08179_,21.38
_12777_,21.38
_13581_,21.38
_14308_,21.38
_15705_,21.38
_08001_,21.365
_04447_,21.36
_05551_,21.36
_15489_,21.36
_18602_,21.36
_20256_,21.36
_05106_,21.34
_07590_,21.34
_15390_,21.34
_19494_,21.34
_21394_,21.34
_24028_,21.34
_22807_,21.335
_10326_,21.325
_07700_,21.32
_08380_,21.32
_06998_,21.3
_09529_,21.3
_19354_,21.3
_24916_,21.3
_01167_,21.295
net798,21.285
_15432_,21.28
_17393_,21.28
_20321_,21.28
_20355_,21.28
_21013_,21.28
_22364_,21.28
_02687_,21.27
_02886_,21.27
_01999_,21.26
_02346_,21.26
_02976_,21.26
_04462_,21.26
_05049_,21.26
_10595_,21.26
_14446_,21.26
_15247_,21.26
_17884_,21.26
_20413_,21.26
_20601_,21.26
_23103_,21.26
_16723_,21.255
_24500_,21.25
_03013_,21.24
_06492_,21.24
_08277_,21.24
_09363_,21.24
_13202_,21.24
_13407_,21.24
_14356_,21.24
_14770_,21.24
_15545_,21.24
_24418_,21.24
_25081_,21.24
delay_line\[27\]\[1\],21.24
delay_line\[40\]\[8\],21.23
_04362_,21.22
_04564_,21.22
_12461_,21.22
_19495_,21.22
_21005_,21.22
_21521_,21.22
_24987_,21.22
_18039_,21.215
_04998_,21.21
net933,21.205
_00209_,21.2
_02093_,21.2
_04023_,21.2
_07207_,21.2
_08413_,21.2
_10256_,21.2
_13017_,21.2
_19612_,21.2
_19874_,21.2
_24784_,21.2
_21606_,21.19
_12820_,21.185
_00100_,21.18
_00279_,21.18
_08362_,21.18
_12705_,21.18
_16886_,21.18
_18272_,21.18
_20807_,21.18
_21844_,21.18
_22375_,21.18
_24801_,21.18
_15600_,21.175
_00135_,21.17
_01804_,21.16
_02573_,21.16
_08804_,21.16
_12314_,21.16
_16183_,21.16
_21002_,21.16
_23915_,21.16
net96,21.16
_09551_,21.155
_04683_,21.145
_03583_,21.14
_06388_,21.14
_08519_,21.14
_08587_,21.14
_09505_,21.14
_11500_,21.14
_16803_,21.14
_19563_,21.14
_23782_,21.14
_23875_,21.14
_25369_,21.14
_18154_,21.13
_02934_,21.12
_06011_,21.12
_06972_,21.12
_09350_,21.12
_09400_,21.12
_10486_,21.12
_13330_,21.12
_14035_,21.12
_19455_,21.12
_24723_,21.12
_16679_,21.115
net1067,21.105
_00693_,21.1
_09935_,21.1
_12772_,21.1
_12908_,21.1
_22185_,21.1
_11979_,21.09
_00719_,21.08
_03293_,21.08
_03306_,21.08
_03805_,21.08
_14500_,21.08
_14684_,21.08
_15043_,21.08
_20008_,21.08
_21155_,21.08
_23582_,21.08
_23816_,21.08
net596,21.08
_02676_,21.07
_08960_,21.065
_17213_,21.065
_04072_,21.06
_04317_,21.06
_07063_,21.06
_13369_,21.06
_13993_,21.06
_14809_,21.06
_15674_,21.06
_21713_,21.06
_21961_,21.06
_23912_,21.06
net166,21.06
_17228_,21.055
_15000_,21.05
_07738_,21.045
_03268_,21.04
_08305_,21.04
_12894_,21.04
_13888_,21.04
_19523_,21.04
_21101_,21.04
_22247_,21.04
_23404_,21.04
_24562_,21.04
_25445_,21.04
delay_line\[27\]\[3\],21.04
_07178_,21.03
_06951_,21.025
_08082_,21.02
_11667_,21.02
_12863_,21.02
_21010_,21.02
net256,21.02
_16021_,21.015
_06368_,21.01
_01790_,21
_02801_,21
_05478_,21
_13876_,21
_19604_,21
_24209_,21
delay_line\[33\]\[8\],21
_21276_,20.995
_00869_,20.98
_04388_,20.98
_05370_,20.98
_07064_,20.98
_12713_,20.98
_13440_,20.98
_14815_,20.98
_17330_,20.98
_20372_,20.98
_21295_,20.98
_21851_,20.98
_23326_,20.98
_01404_,20.96
_01455_,20.96
_07775_,20.96
_08214_,20.96
_14274_,20.96
_15764_,20.96
_21820_,20.96
_22493_,20.96
_22977_,20.96
_01165_,20.955
_00594_,20.94
_02342_,20.94
_04552_,20.94
_06727_,20.94
_06792_,20.94
_08102_,20.94
_14093_,20.94
_15412_,20.94
_20007_,20.94
_21230_,20.94
_22981_,20.94
_23763_,20.94
_00079_,20.92
_01736_,20.92
_03814_,20.92
_07944_,20.92
_08461_,20.92
_09329_,20.92
_11682_,20.92
_14496_,20.92
_16306_,20.92
_16537_,20.92
_16848_,20.92
_18221_,20.92
_21889_,20.92
_23270_,20.92
_24154_,20.92
_24273_,20.92
_21144_,20.91
net868,20.905
_01620_,20.9
_01971_,20.9
_03500_,20.9
_07036_,20.9
_10417_,20.9
_12083_,20.9
_13556_,20.9
_14968_,20.9
_15050_,20.9
_16143_,20.9
_21721_,20.9
net260,20.9
_00856_,20.885
_03199_,20.88
_04241_,20.88
_05111_,20.88
_09414_,20.88
_21698_,20.88
_23832_,20.88
_25424_,20.88
_07438_,20.875
_22882_,20.875
_00113_,20.86
_02562_,20.86
_08537_,20.86
_13575_,20.86
_19408_,20.86
_23730_,20.86
_01474_,20.85
_01166_,20.845
_00414_,20.84
_04474_,20.84
_04979_,20.84
_10396_,20.84
_11710_,20.84
_18641_,20.84
_19147_,20.84
_21337_,20.84
_24534_,20.84
_24558_,20.84
_24596_,20.84
_24759_,20.84
net249,20.84
_07829_,20.83
_09078_,20.82
_10971_,20.82
_11252_,20.82
_12890_,20.82
_13171_,20.82
_13410_,20.82
_14241_,20.82
_14838_,20.82
_16976_,20.82
_17877_,20.82
_01560_,20.8
_03364_,20.8
_15741_,20.8
_23651_,20.8
_23840_,20.795
_25066_,20.795
_22993_,20.785
_01116_,20.78
_01186_,20.78
_02602_,20.78
_02839_,20.78
_02941_,20.78
_03804_,20.78
_05371_,20.78
_05425_,20.78
_05911_,20.78
_06135_,20.78
_10182_,20.78
_18112_,20.78
_18307_,20.78
_20595_,20.78
_22552_,20.78
_22982_,20.78
_23575_,20.78
_23630_,20.78
_02933_,20.76
_07570_,20.76
_10058_,20.76
_11324_,20.76
_13373_,20.76
_16080_,20.76
_16614_,20.76
_18018_,20.76
_18024_,20.76
_18231_,20.76
_19186_,20.76
_21269_,20.76
_01879_,20.755
_02054_,20.755
_06565_,20.755
_04277_,20.75
_00860_,20.74
_05586_,20.74
_06153_,20.74
_06963_,20.74
_07880_,20.74
_09652_,20.74
_11339_,20.74
_12913_,20.74
_15751_,20.74
_19991_,20.74
_21990_,20.74
_22327_,20.74
_23210_,20.74
_24180_,20.74
_20076_,20.73
_00775_,20.72
_02715_,20.72
_03115_,20.72
_12116_,20.72
_12509_,20.72
_14087_,20.72
_14139_,20.72
_15575_,20.72
_21320_,20.72
_23033_,20.72
_03714_,20.7
_04111_,20.7
_05663_,20.7
_06679_,20.7
_08230_,20.7
_09937_,20.7
_10197_,20.7
_12873_,20.7
_13272_,20.7
_14827_,20.7
_15161_,20.7
_15884_,20.7
_16894_,20.7
_17622_,20.7
_18411_,20.7
_23329_,20.7
_24421_,20.7
_24754_,20.7
_05920_,20.68
_09190_,20.68
_10940_,20.68
_11628_,20.68
_12459_,20.68
_17177_,20.68
_18850_,20.68
_19091_,20.675
_24398_,20.675
_01900_,20.67
_01578_,20.66
_01796_,20.66
_08848_,20.66
_10059_,20.66
_16805_,20.66
_18115_,20.66
_18913_,20.66
_22853_,20.66
_22909_,20.66
_24343_,20.66
delay_line\[37\]\[9\],20.66
net532,20.66
_01001_,20.65
_00898_,20.64
_04031_,20.64
_04050_,20.64
_05005_,20.64
_13941_,20.64
_12558_,20.63
_01846_,20.62
_10333_,20.62
_11727_,20.62
_12537_,20.62
_16697_,20.62
_17542_,20.62
_24510_,20.62
_04143_,20.6
_08829_,20.6
_15770_,20.6
_16477_,20.6
_19654_,20.6
_20036_,20.6
_24166_,20.6
_05073_,20.59
_07927_,20.58
_09928_,20.58
_13237_,20.58
_09010_,20.57
_09200_,20.57
_09459_,20.57
_03652_,20.56
_06060_,20.56
_07444_,20.56
_07885_,20.56
_09508_,20.56
_09789_,20.56
_12262_,20.56
_20135_,20.56
_23881_,20.56
_15136_,20.55
_00063_,20.54
_02977_,20.54
_06658_,20.54
_08382_,20.54
_08847_,20.54
_10612_,20.54
_15629_,20.54
_17874_,20.54
_18424_,20.54
_18702_,20.54
_21121_,20.54
_23817_,20.54
net199,20.54
_02699_,20.535
_02511_,20.52
_03082_,20.52
_04710_,20.52
_08412_,20.52
_09439_,20.52
_09694_,20.52
_10956_,20.52
_17116_,20.52
_19228_,20.52
_19640_,20.52
_22211_,20.52
_22711_,20.52
delay_line\[3\]\[6\],20.52
_03146_,20.51
_04504_,20.5
_05092_,20.5
_05125_,20.5
_05721_,20.5
_07163_,20.5
_10912_,20.5
_13811_,20.5
_14697_,20.5
_16327_,20.5
_17446_,20.5
_20745_,20.5
_22229_,20.5
_25241_,20.5
delay_line\[27\]\[10\],20.5
_16127_,20.495
_04301_,20.49
_09923_,20.49
_01003_,20.48
_04324_,20.47
_00293_,20.46
_08845_,20.46
_13739_,20.46
_14095_,20.46
_14649_,20.46
_16676_,20.46
_19293_,20.46
_19634_,20.46
_24352_,20.46
_12267_,20.44
_15098_,20.44
_15929_,20.44
_18874_,20.44
_21747_,20.44
_22352_,20.44
_12860_,20.43
_10397_,20.42
_10616_,20.42
_10878_,20.42
_12087_,20.42
_13666_,20.42
_15747_,20.42
_16949_,20.42
_19963_,20.42
_22739_,20.42
_23492_,20.42
delay_line\[25\]\[15\],20.42
_00997_,20.4
_05560_,20.4
_10510_,20.4
_13245_,20.4
_21322_,20.4
_23591_,20.4
net986,20.4
_02200_,20.38
_02756_,20.38
_03163_,20.38
_04088_,20.38
_04284_,20.38
_05902_,20.38
_16657_,20.38
_18002_,20.38
_18519_,20.38
_21585_,20.38
_24649_,20.38
_02654_,20.37
_16615_,20.365
_04526_,20.36
_05746_,20.36
_10192_,20.36
_10424_,20.36
_12935_,20.36
_13633_,20.36
_15402_,20.36
_21770_,20.36
_06519_,20.345
_05270_,20.34
_06104_,20.34
_09752_,20.34
_14718_,20.34
_18220_,20.34
_18759_,20.34
_19053_,20.34
_21935_,20.34
_22894_,20.34
_14511_,20.335
_22434_,20.335
_16078_,20.33
_22119_,20.33
_02643_,20.32
_12582_,20.32
_14222_,20.32
_17582_,20.32
_19063_,20.32
_23607_,20.32
_23818_,20.305
_01292_,20.3
_02634_,20.3
_06880_,20.3
_09405_,20.3
_15854_,20.3
_16006_,20.3
_17013_,20.3
_17775_,20.3
_20160_,20.3
_22253_,20.3
_18601_,20.295
net659,20.285
net902,20.285
_02094_,20.28
_05327_,20.28
_05848_,20.28
_08415_,20.28
_10399_,20.28
_12358_,20.28
_12667_,20.28
_14799_,20.28
_15616_,20.28
_17477_,20.28
_19092_,20.28
_21932_,20.28
_24223_,20.28
_25395_,20.28
_25017_,20.265
_02822_,20.26
_06003_,20.26
_09295_,20.26
_12280_,20.26
_14557_,20.26
_15234_,20.26
_16868_,20.26
_17478_,20.26
_17832_,20.26
_18234_,20.26
_24982_,20.26
_12919_,20.25
_00571_,20.24
_09408_,20.24
_09511_,20.24
_10019_,20.24
_10770_,20.24
_11215_,20.24
_11444_,20.24
_12202_,20.24
_15765_,20.24
_20311_,20.24
_20720_,20.24
_21762_,20.24
_21944_,20.24
_23239_,20.24
_03726_,20.22
_04114_,20.22
_16585_,20.22
_24277_,20.22
_24460_,20.22
_01298_,20.21
_03836_,20.21
_01991_,20.2
_04538_,20.2
_06065_,20.2
_08205_,20.2
_09568_,20.2
_13322_,20.2
_16054_,20.2
_17184_,20.2
_17488_,20.2
_19892_,20.2
_20614_,20.2
_24114_,20.2
_01442_,20.18
_14961_,20.18
_15038_,20.18
_15700_,20.18
_16362_,20.18
_21140_,20.18
_17717_,20.17
_03328_,20.165
_01695_,20.16
_03255_,20.16
_03547_,20.16
_06162_,20.16
_07619_,20.16
_10851_,20.16
_13210_,20.16
_13882_,20.16
_17115_,20.16
_24927_,20.16
_24933_,20.16
_14442_,20.15
_00280_,20.14
_00303_,20.14
_01133_,20.14
_04193_,20.14
_04300_,20.14
_06075_,20.14
_11509_,20.14
_20401_,20.14
_20534_,20.14
_05749_,20.12
_06278_,20.12
_09013_,20.12
_13525_,20.12
_13966_,20.12
_18296_,20.12
_20128_,20.12
_23235_,20.12
_23451_,20.12
_03694_,20.1
_05010_,20.1
_08673_,20.1
_13918_,20.1
_16804_,20.1
_20942_,20.1
_01297_,20.08
_02473_,20.08
_03196_,20.08
_06319_,20.08
_06615_,20.08
_14525_,20.08
_16241_,20.08
_16981_,20.08
_18909_,20.08
_21745_,20.08
_22146_,20.08
_25336_,20.08
_18366_,20.07
_21622_,20.065
_00925_,20.06
_08431_,20.06
_11521_,20.06
_14062_,20.06
_18207_,20.06
_18972_,20.06
_19699_,20.06
_21586_,20.06
_25105_,20.06
net1142,20.045
_01344_,20.04
_05938_,20.04
_06858_,20.04
_08574_,20.04
_09182_,20.04
_00466_,20.02
_01522_,20.02
_01929_,20.02
_04087_,20.02
_04122_,20.02
_05639_,20.02
_07783_,20.02
_13523_,20.02
_13659_,20.02
_14997_,20.02
_20822_,20.02
_22278_,20.02
_05035_,20.015
_03072_,20.01
_00913_,20
_04371_,20
_04818_,20
_04889_,20
_06538_,20
_06918_,20
_08483_,20
_10224_,20
_14999_,20
_07583_,19.98
_07744_,19.98
_08602_,19.98
_11088_,19.98
_11450_,19.98
_12410_,19.98
_16317_,19.98
_17321_,19.98
_18151_,19.98
_18564_,19.98
_22152_,19.98
_22804_,19.98
_03017_,19.97
_01903_,19.96
_04955_,19.96
_06570_,19.96
_07363_,19.96
_07871_,19.96
_12636_,19.96
_13194_,19.96
_15459_,19.96
_19146_,19.96
_21059_,19.96
_21664_,19.96
_22419_,19.96
net608,19.96
_24083_,19.955
_11144_,19.95
_24295_,19.95
_05310_,19.94
_10756_,19.94
_16149_,19.94
_24393_,19.94
_05610_,19.92
_05879_,19.92
_07413_,19.92
_11142_,19.92
_12320_,19.92
_13612_,19.92
_17687_,19.92
_18187_,19.92
_22215_,19.92
_22774_,19.92
_22844_,19.92
_23902_,19.92
_00051_,19.915
_16303_,19.915
_16469_,19.915
_00793_,19.9
_02311_,19.9
_03751_,19.9
_03754_,19.9
_09172_,19.9
_24121_,19.9
_13721_,19.895
_15388_,19.89
_09271_,19.88
_13912_,19.88
_15706_,19.88
_16912_,19.88
_18745_,19.88
_21102_,19.88
_23505_,19.88
_24192_,19.88
_08304_,19.87
_05029_,19.86
_06988_,19.86
_10891_,19.86
_14531_,19.86
_19735_,19.86
delay_line\[38\]\[14\],19.86
_13011_,19.85
_02209_,19.84
_06898_,19.84
_08925_,19.84
_10198_,19.84
_10826_,19.84
_17846_,19.84
_20664_,19.84
_24782_,19.84
_25165_,19.84
_00846_,19.82
_09008_,19.82
_11312_,19.82
_13317_,19.82
_13341_,19.82
_21387_,19.82
_21933_,19.82
_23847_,19.82
_24792_,19.81
_00301_,19.8
_02201_,19.8
_04703_,19.8
_07603_,19.8
_09191_,19.8
_10536_,19.8
_13644_,19.8
_13872_,19.8
_15173_,19.8
_16170_,19.8
_23072_,19.8
_24465_,19.8
_25015_,19.8
delay_line\[40\]\[14\],19.8
net739,19.785
_01905_,19.78
_09091_,19.78
_09555_,19.78
_10656_,19.78
_13044_,19.78
_13609_,19.78
_14418_,19.78
_14777_,19.78
_15036_,19.78
_16786_,19.78
_19935_,19.78
_21436_,19.78
_23855_,19.78
_00083_,19.76
_02238_,19.76
_05625_,19.76
_05962_,19.76
_09436_,19.76
_17880_,19.76
_21686_,19.76
_21701_,19.76
_23398_,19.76
_06817_,19.755
_14854_,19.755
_07496_,19.74
_07681_,19.74
_08106_,19.74
_09507_,19.74
_10609_,19.74
_14494_,19.74
_15309_,19.74
_16867_,19.74
_21646_,19.74
_22463_,19.74
_24617_,19.74
_20406_,19.73
_00741_,19.72
_09593_,19.72
_11725_,19.72
_18275_,19.72
_21727_,19.72
_15258_,19.715
_03865_,19.7
_06613_,19.7
_07205_,19.7
_10606_,19.7
_10692_,19.7
_10868_,19.7
_15502_,19.7
_18880_,19.7
_19339_,19.7
_22254_,19.7
_24437_,19.7
_25082_,19.7
delay_line\[10\]\[14\],19.7
_08811_,19.695
_06652_,19.69
_12390_,19.69
_19768_,19.69
_01985_,19.68
_02953_,19.68
_04911_,19.68
_06031_,19.68
_11676_,19.68
_13560_,19.68
_16175_,19.68
_20140_,19.68
_19820_,19.675
_06617_,19.66
_10645_,19.66
_13865_,19.66
_13898_,19.66
_15356_,19.66
_19705_,19.66
_21909_,19.66
_21919_,19.66
_24841_,19.66
_25185_,19.66
_16877_,19.655
_07768_,19.65
net1106,19.645
_14579_,19.64
_15035_,19.64
_19130_,19.64
_21093_,19.64
_21744_,19.64
_01855_,19.635
_15667_,19.63
_04394_,19.62
_06790_,19.62
_07114_,19.62
_10282_,19.62
_12431_,19.62
_12567_,19.62
_15325_,19.62
_23226_,19.62
_24883_,19.62
_02896_,19.6
_04048_,19.6
_12313_,19.6
_17989_,19.6
_20330_,19.6
_22102_,19.6
_24938_,19.6
_25180_,19.6
_12803_,19.59
_01396_,19.58
_08968_,19.58
_21814_,19.58
_22740_,19.58
_02592_,19.56
_04150_,19.56
_10427_,19.56
_13124_,19.56
_14419_,19.56
_22704_,19.56
_01637_,19.54
_02001_,19.54
_03040_,19.54
_04310_,19.54
_07482_,19.54
_13911_,19.54
_16261_,19.54
_17306_,19.54
_19778_,19.54
_22528_,19.54
net213,19.54
_17531_,19.53
_03921_,19.52
_09093_,19.52
_14350_,19.52
_17732_,19.52
_21075_,19.52
net557,19.52
_00654_,19.5
_03712_,19.5
_03791_,19.5
_10067_,19.5
_15906_,19.5
_16952_,19.5
_17984_,19.5
_19209_,19.5
_19628_,19.5
_22318_,19.5
_23810_,19.5
net200,19.5
net641,19.485
_02204_,19.48
_02980_,19.48
_03286_,19.48
_07892_,19.48
_08462_,19.48
_08641_,19.48
_11079_,19.48
_14990_,19.48
_17142_,19.48
_19165_,19.48
_21856_,19.48
_22539_,19.48
_02795_,19.47
_04922_,19.46
_06993_,19.46
_08246_,19.46
_08460_,19.46
_08486_,19.46
_08496_,19.46
_09071_,19.46
_12180_,19.46
_14109_,19.46
_15781_,19.46
_16411_,19.46
_19897_,19.46
_20622_,19.46
_01683_,19.44
_02399_,19.44
_02692_,19.44
_04662_,19.44
_09223_,19.44
_10907_,19.44
_11611_,19.44
_11958_,19.44
_19034_,19.44
_20635_,19.44
_21442_,19.44
_23727_,19.44
_24633_,19.44
net222,19.44
_00359_,19.42
_01957_,19.42
_03946_,19.42
_06273_,19.42
_08495_,19.42
_08911_,19.42
_21687_,19.42
_13012_,19.41
_00744_,19.4
_04506_,19.4
_04685_,19.4
_04863_,19.4
_07343_,19.4
_07966_,19.4
_10049_,19.4
_11043_,19.4
_11517_,19.4
_14105_,19.4
_14869_,19.4
_15746_,19.4
_09993_,19.39
_21777_,19.39
_02767_,19.38
_06978_,19.38
_08516_,19.38
_14483_,19.38
_15476_,19.38
_16857_,19.38
_20830_,19.38
_21709_,19.38
_23430_,19.38
_02560_,19.37
_04490_,19.37
_01670_,19.36
_10529_,19.36
_16150_,19.36
_18191_,19.36
_19076_,19.36
_19658_,19.36
_23791_,19.36
clknet_leaf_22_clk,19.36
_04368_,19.355
