net,length_um
delay_line\[20\]\[12\],234.46
_03503_,234.34
delay_line\[32\]\[1\],234.19
_18040_,234.18
_04260_,233.4
_15295_,233.28
_16814_,233.06
_17047_,233.06
_15577_,232.8
delay_line\[12\]\[2\],232.7
delay_line\[20\]\[7\],232.54
_04254_,232.5
_07909_,232.455
_24727_,232.24
_16772_,232.09
_21800_,232.08
_04427_,231.64
_18391_,231.27
_23698_,231.18
_21201_,230.9
_02165_,229.82
_22919_,229.58
delay_line\[0\]\[14\],229.42
_21349_,229.21
_16499_,229.2
delay_line\[5\]\[9\],228.08
_17134_,227.88
delay_line\[0\]\[0\],227.88
delay_line\[20\]\[11\],227.88
_12987_,227.68
_09576_,227.61
_02539_,227.46
_15606_,226.8
_23970_,226.61
_10416_,226.28
_02491_,226.2
_14711_,225.63
_10328_,225.58
_12068_,225.54
_15625_,224.755
_10127_,224.68
_12687_,224.62
_20062_,224.4
_12070_,224.32
_00006_,224.125
_01702_,223.9
_20254_,223.24
_14670_,222.94
_12619_,222.92
_21443_,222.9
_16875_,222.58
_14851_,222.44
delay_line\[0\]\[13\],222.42
_12553_,222.36
_11964_,222.12
_17041_,222.06
_15491_,221.98
net81,221.76
delay_line\[20\]\[10\],221.74
_00092_,221.36
_00599_,220.96
_22205_,220.75
_24243_,220.7
_15499_,220.69
delay_line\[11\]\[11\],220.64
_13843_,220.52
_04133_,220.36
_05800_,220.21
delay_line\[1\]\[4\],220.2
_08225_,220.02
_19257_,219.9
_14934_,219.84
_23755_,219.52
_16773_,219.46
_11866_,219.355
_18482_,219.18
_23863_,219.08
_00000_,219.075
_16456_,218.26
delay_line\[1\]\[2\],217.91
_03407_,217.62
_04136_,217.44
_10380_,217.22
_17919_,216.93
_07721_,216.85
_03566_,216.81
_11458_,216.74
delay_line\[23\]\[12\],216.66
_15292_,216.6
_14083_,216.49
_03425_,216.46
_03951_,216.16
_03851_,215.995
_12693_,215.88
net356,215.375
_15588_,215.22
_23381_,215.18
_04255_,214.74
_12174_,214.74
_03560_,214.44
_19883_,213.96
_12114_,213.95
_00873_,213.82
_18268_,213.76
_01970_,213.61
_14868_,213.58
delay_line\[4\]\[1\],213.58
net410,213.385
_10729_,213.02
delay_line\[0\]\[15\],212.82
_01945_,212.68
_13414_,212.14
_11976_,212.12
_02538_,211.61
_22194_,211.51
_22606_,211.44
delay_line\[14\]\[8\],211.4
_10265_,210.8
net376,210.715
_11957_,210.64
_10736_,210.58
net354,210.305
_03125_,210.29
_24017_,210.2
_02675_,209.9
_10361_,209.76
_11600_,209.74
_25059_,209.67
delay_line\[11\]\[12\],209.6
_18836_,209.41
_00854_,208.995
_10731_,208.84
_04789_,208.76
_18463_,208.76
_09737_,208.66
_13418_,208.54
_22456_,208.46
_10378_,208.3
_25062_,208.06
_13782_,207.96
_07934_,207.8
_09170_,207.78
_12880_,207.52
_04085_,207.4
net119,207.08
_20122_,207.02
_08227_,206.92
_23973_,206.915
_03516_,206.82
_16778_,206.63
_24334_,206.47
delay_line\[20\]\[13\],206.25
_22642_,206.06
_00177_,205.78
_03221_,205.78
_17915_,205.47
_20258_,205.46
_23771_,205.14
_08969_,204.56
_18044_,204.5
_12694_,204.415
_07645_,204.36
_15287_,204.32
_20125_,204.3
_03148_,204.05
_10268_,204.02
_23812_,203.955
_04579_,203.88
_00395_,203.87
_10284_,203.8
_16104_,203.72
_07725_,203.64
_25339_,203.48
delay_line\[16\]\[12\],203.36
_23898_,203.08
_04775_,203.04
_23976_,202.82
_19044_,202.74
_19904_,202.68
_12541_,202.32
_23392_,202.26
_06487_,202.16
net59,202.02
_17995_,201.69
_08961_,201.595
_24062_,201.45
_00300_,201.06
_09513_,200.98
_08122_,200.92
_10488_,200.78
delay_line\[14\]\[0\],200.78
_03349_,200.58
_12540_,199.74
delay_line\[31\]\[2\],199.6
_00363_,199.28
_18026_,199.26
_21962_,198.92
_19235_,198.9
_19382_,198.72
_13460_,198.33
delay_line\[24\]\[7\],198.12
_00186_,198.04
_17898_,198.04
_14919_,197.85
_04107_,197.8
_11899_,197.78
_16147_,197.74
_16975_,197.485
_13783_,197.48
_18962_,197.3
_01534_,197.25
_01523_,196.87
_18236_,196.58
_16938_,196.5
_18053_,196.44
delay_line\[1\]\[0\],196.4
_22543_,196.32
_00096_,196.28
_11558_,196.18
delay_line\[1\]\[1\],196.145
delay_line\[13\]\[10\],196.14
_08171_,196.02
_25060_,196.02
_23197_,195.73
_14967_,195.12
_14899_,195.08
delay_line\[32\]\[6\],194.98
_09683_,194.78
_14546_,194.61
_09681_,194.56
_06768_,194.54
_12607_,194.48
_23051_,194.43
delay_line\[14\]\[7\],194.28
_24857_,194.14
_10339_,193.82
_25337_,193.78
_24820_,193.49
_15566_,193.14
_00005_,192.945
_22219_,192.82
_23974_,192.68
_09174_,192.62
net425,192.45
_04600_,192.44
_18279_,192.16
_17897_,192.12
delay_line\[31\]\[3\],192.1
_18273_,192.05
_24040_,192.01
_06044_,191.95
delay_line\[20\]\[8\],191.81
_25433_,191.42
_09006_,190.795
delay_line\[31\]\[0\],190.56
_12730_,190.38
_11833_,190.24
_20046_,190.21
_14671_,190.2
_02004_,190.18
_24858_,190.1
_10372_,189.96
_00337_,189.82
delay_line\[4\]\[3\],189.66
_12838_,189.38
_08279_,189.3
_04905_,189.28
_16914_,189.22
_10394_,189.14
_22124_,189.07
net397,188.955
_03322_,188.86
delay_line\[16\]\[13\],188.6
_25313_,188.5
_18058_,188.46
_02965_,188.17
_04006_,188.13
delay_line\[14\]\[4\],187.68
_23029_,187.66
_18259_,187.62
net363,187.325
_18054_,187.275
_11556_,187.04
_22439_,186.52
_09119_,186.5
delay_line\[11\]\[13\],186.35
_23119_,186.25
delay_line\[14\]\[9\],186.18
net28,186.18
net362,186.085
_19849_,185.84
_05348_,185.59
_21126_,185.38
_13042_,185.29
_03227_,185.23
_01865_,184.88
_18238_,184.88
_01834_,184.64
delay_line\[4\]\[0\],184.62
delay_line\[35\]\[0\],184.38
_15956_,184.32
_03265_,184.14
_15955_,184.08
delay_line\[7\]\[9\],184.07
_11606_,184.03
_12380_,183.96
_10767_,183.82
_19611_,183.735
_09445_,183.18
_24494_,183.14
delay_line\[16\]\[14\],182.89
_03238_,182.86
_18394_,182.66
_01789_,182.29
_07652_,182.06
_18288_,181.92
_20284_,181.5
_11691_,181.44
